19.4126,14.3597,11.8041,8.35173,6.01571,5.79092,3.23166,-0.923792,1.60851,5.5988
0,0,0,0,0,0,0,0,0,0
15.9766,14.584,10.0789,4.36755,5.023,3.79382,2.10725,-0.0966452,2.82521,6.5643
0,0,0,0,0,0,0,0,0,0
-7.00094,-3.55793,-2.72339,-1.97922,-1.78001,-0.468936,-0.679221,0.445794,2.75021,7.63809
0,0,0,0,0,0,0,0,0,0
-24.5865,-19.5465,-17.3081,-16.1406,-14.6859,-11.208,-9.90854,-7.24522,-4.17157,0.0458308
0,0,0,0,0,0,0,0,0,0
-12.07,-11.4793,-13.8289,-15.0902,-8.95355,-6.96785,-5.06305,-3.76786,1.14762,2.17559
0,0,0,0,0,0,0,0,0,0
10.4274,9.50319,5.2749,4.29342,11.1492,10.6498,12.9502,15.0293,13.3038,13.5921
0,0,0,0,0,0,0,0,0,0
21.5929,18.1011,12.383,11.2287,16.4487,19.7823,21.0172,19.3241,16.0579,15.3519
0,0,0,0,0,0,0,0,0,0
12.3471,9.22117,3.51932,4.53198,5.45338,6.50165,3.51751,-1.69274,-6.78704,-8.43239
0,0,0,0,0,0,0,0,0,0
-4.53051,-5.95952,-6.06582,-6.27736,-11.9412,-12.2157,-15.2943,-24.4917,-29.0292,-31.6065
0,0,0,0,0,0,0,0,0,0
-3.34904,-10.8824,-10.7482,-13.266,-18.9003,-20.1442,-25.0722,-31.5603,-40.3368,-40.9306
0,0,0,0,0,0,0,0,0,0
